Institution Code,Institution Name,City,State,Country,Institution Type,Field of study,Credential Level,Official Program Pass/Zone/Fail,Debt-to-Earnings Annual Rate,Debt (numerator),Annual Earnings (denominator),Debt-to-Earnings Annual Rate Pass/Fail/Zone,Debt-to-Earnings Discretionary Income Rate,Debt Discretionary Income Rate (numerator),Earnings Discretionary Income Rate (denominator),Debt-to-Earnings Discretionary Income Rate Pass/Fail/Zone,Mean  Annual Earnings From SSA,Median Annual Earnings from SSA,Field Study Grouped
1034,ALABAMA SOUTHERN COMMUNITY COLLEGE,MONROEVILLE,AL,United States,PUBLIC 2 TO 3 YEARS,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,27681,PASS,0,0,10026,PASS,26875,27681,Health field
1040,SOUTHERN UNION STATE COMMUNITY COLLEGE,WADLEY,AL,United States,PUBLIC 2 TO 3 YEARS,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,31439,PASS,0,0,13784,PASS,27676,31439,Health field
1052,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,United States,PUBLIC 4 YEARS OR MORE,"DENTAL CLINICAL SCIENCES, GENERAL.",08 - GRADUATE CERTIFICATE,PASS,1.97,4431,224499,PASS,2.14,4431,206844,PASS,224499,179788,Health field
1057,UNIVERSITY OF SOUTH ALABAMA,MOBILE,AL,United States,PUBLIC 4 YEARS OR MORE,RADIOLOGIC TECHNOLOGY/SCIENCE - RADIOGRAPHER.,01 - UNDERGRADUATE CERTIFICATE,PASS,4.64,2071,44627,PASS,7.67,2071,26972,PASS,44627,43181,Sciences
1059,LAWSON STATE COMMUNITY COLLEGE,BIRMINGHAM,AL,United States,PUBLIC 2 TO 3 YEARS,"COSMETOLOGY/COSMETOLOGIST, GENERAL.",01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,11550,PASS,0,0,0,PASS,11304,11550,Others
1059,LAWSON STATE COMMUNITY COLLEGE,BIRMINGHAM,AL,United States,PUBLIC 2 TO 3 YEARS,BARBERING/BARBER.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,9961,PASS,0,0,0,PASS,9961,5288,Others
1059,LAWSON STATE COMMUNITY COLLEGE,BIRMINGHAM,AL,United States,PUBLIC 2 TO 3 YEARS,"HEATING, VENTILATION, AIR CONDITIONING AND REFRIGERATION ENGINEERING TECHNOLOGY/TECHNICIAN.",01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,37009,PASS,0,0,19354,PASS,37009,33789,Sciences
1059,LAWSON STATE COMMUNITY COLLEGE,BIRMINGHAM,AL,United States,PUBLIC 2 TO 3 YEARS,FOODSERVICE SYSTEMS ADMINISTRATION/MANAGEMENT.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,12611,PASS,0,0,0,PASS,12611,11479,Management & Administration
1059,LAWSON STATE COMMUNITY COLLEGE,BIRMINGHAM,AL,United States,PUBLIC 2 TO 3 YEARS,AUTOBODY/COLLISION AND REPAIR TECHNOLOGY/TECHNICIAN.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,19027,PASS,0,0,1372,PASS,18304,19027,Sciences
1059,LAWSON STATE COMMUNITY COLLEGE,BIRMINGHAM,AL,United States,PUBLIC 2 TO 3 YEARS,DENTAL ASSISTING/ASSISTANT.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,17599,PASS,0,0,0,PASS,17599,17125,Health field
1059,LAWSON STATE COMMUNITY COLLEGE,BIRMINGHAM,AL,United States,PUBLIC 2 TO 3 YEARS,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,39597,PASS,0,0,21942,PASS,39597,37565,Health field
1065,UNIVERSITY OF ALASKA SOUTHEAST,JUNEAU,AK,United States,PUBLIC 4 YEARS OR MORE,"SPECIAL EDUCATION AND TEACHING, GENERAL.",08 - GRADUATE CERTIFICATE,PASS,2.83,1757,61937,PASS,3.96,1757,44282,PASS,59090,61937,Education & Human Sciences
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,"EDUCATION, GENERAL.",05 - MASTERS DEGREE,PASS,3.46,1853,53494,PASS,5.17,1853,35839,PASS,53494,53248,Education & Human Sciences
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,CURRICULUM AND INSTRUCTION.,05 - MASTERS DEGREE,PASS,3.77,1906,50546,PASS,5.79,1906,32891,PASS,50546,50361,Others
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,"EDUCATIONAL LEADERSHIP AND ADMINISTRATION, GENERAL.",05 - MASTERS DEGREE,PASS,3.91,2299,58768,PASS,5.59,2299,41113,PASS,58768,57252,Education & Human Sciences
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,"EDUCATIONAL, INSTRUCTIONAL, AND CURRICULUM SUPERVISION.",05 - MASTERS DEGREE,PASS,3.74,2005,53602,PASS,5.57,2005,35947,PASS,53602,45838,Education & Human Sciences
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,"SPECIAL EDUCATION AND TEACHING, GENERAL.",03 - BACHELORS DEGREE,ZONE,11.85,3895,32863,ZONE,25.61,3895,15208,ZONE,31484,32863,Education & Human Sciences
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,"SPECIAL EDUCATION AND TEACHING, GENERAL.",05 - MASTERS DEGREE,PASS,5.61,2530,45085,PASS,9.22,2530,27430,PASS,43848,45085,Education & Human Sciences
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,ELEMENTARY EDUCATION AND TEACHING.,03 - BACHELORS DEGREE,ZONE,12.02,3675,30571,FAIL,28.45,3675,12916,ZONE,28619,30571,Education & Human Sciences
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,ELEMENTARY EDUCATION AND TEACHING.,05 - MASTERS DEGREE,PASS,7.02,2741,39039,PASS,12.81,2741,21384,PASS,35680,39039,Education & Human Sciences
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,SECONDARY EDUCATION AND TEACHING.,03 - BACHELORS DEGREE,ZONE,10.28,3604,35045,ZONE,20.72,3604,17390,ZONE,33059,35045,Education & Human Sciences
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,SECONDARY EDUCATION AND TEACHING.,05 - MASTERS DEGREE,PASS,5.74,2476,43118,PASS,9.72,2476,25463,PASS,41965,43118,Education & Human Sciences
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,EARLY CHILDHOOD EDUCATION AND TEACHING.,05 - MASTERS DEGREE,PASS,5.37,2305,42910,PASS,9.12,2305,25255,PASS,42910,42701,Education & Human Sciences
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,TEACHING ENGLISH AS A SECOND OR FOREIGN LANGUAGE/ESL LANGUAGE INSTRUCTOR.,05 - MASTERS DEGREE,PASS,4.03,2042,50603,PASS,6.19,2042,32948,PASS,49817,50603,Education & Human Sciences
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,RELIGIOUS EDUCATION.,05 - MASTERS DEGREE,ZONE,8.74,2528,28915,ZONE,22.45,2528,11260,ZONE,28915,22444,Education & Human Sciences
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,CRIMINAL JUSTICE/SAFETY STUDIES.,05 - MASTERS DEGREE,PASS,5.77,2823,48841,PASS,9.05,2823,31186,PASS,48841,43503,Others
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,FIRE SERVICES ADMINISTRATION.,05 - MASTERS DEGREE,PASS,1.96,1925,97983,PASS,2.39,1925,80328,PASS,97567,97983,Management & Administration
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,CRISIS/EMERGENCY/DISASTER MANAGEMENT.,03 - BACHELORS DEGREE,PASS,2.95,1997,67619,PASS,3.99,1997,49964,PASS,64900,67619,Management & Administration
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,PUBLIC ADMINISTRATION.,05 - MASTERS DEGREE,PASS,4.66,2725,58388,PASS,6.68,2725,40733,PASS,58388,50768,Management & Administration
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,RESPIRATORY CARE THERAPY/THERAPIST.,03 - BACHELORS DEGREE,PASS,3.71,2262,60840,PASS,5.23,2262,43185,PASS,56375,60840,Health field
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,"CLINICAL/MEDICAL LABORATORY SCIENCE AND ALLIED PROFESSIONS, OTHER.",03 - BACHELORS DEGREE,PASS,3.09,1801,58124,PASS,4.45,1801,40469,PASS,58124,54873,Health field
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,SUBSTANCE ABUSE/ADDICTION COUNSELING.,03 - BACHELORS DEGREE,PASS,6.41,1947,30364,PASS,15.31,1947,12709,PASS,30364,28238,Others
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,SUBSTANCE ABUSE/ADDICTION COUNSELING.,05 - MASTERS DEGREE,PASS,6.22,2297,36900,PASS,11.93,2297,19245,PASS,35560,36900,Others
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,MENTAL HEALTH COUNSELING/COUNSELOR.,05 - MASTERS DEGREE,PASS,9.42,3656,38799,ZONE,17.29,3656,21144,PASS,35519,38799,Health field
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,REGISTERED NURSING/REGISTERED NURSE.,03 - BACHELORS DEGREE,PASS,2.34,1832,78099,PASS,3.03,1832,60444,PASS,78099,75987,Health field
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,REGISTERED NURSING/REGISTERED NURSE.,05 - MASTERS DEGREE,PASS,2.9,2352,80990,PASS,3.71,2352,63335,PASS,80011,80990,Health field
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,NURSING ADMINISTRATION.,05 - MASTERS DEGREE,PASS,2.36,2360,99676,PASS,2.87,2360,82021,PASS,99676,94402,Health field
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,FAMILY PRACTICE NURSE/NURSING.,05 - MASTERS DEGREE,PASS,2.79,2906,104048,PASS,3.36,2906,86393,PASS,94612,104048,Health field
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,"HEALTH PROFESSIONS AND RELATED CLINICAL SCIENCES, OTHER.",03 - BACHELORS DEGREE,PASS,3.92,2440,62137,PASS,5.48,2440,44482,PASS,62137,58525,Health field
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,"BUSINESS ADMINISTRATION AND MANAGEMENT, GENERAL.",03 - BACHELORS DEGREE,PASS,4.23,2343,55324,PASS,6.21,2343,37669,PASS,55324,47206,Economy and Business
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,"BUSINESS ADMINISTRATION AND MANAGEMENT, GENERAL.",05 - MASTERS DEGREE,PASS,3.86,2566,66402,PASS,5.26,2566,48747,PASS,66402,59267,Economy and Business
1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,United States,PROPRIETARY 4 YEARS OR MORE,ACCOUNTING.,03 - BACHELORS DEGREE,PASS,6.1,2418,39599,PASS,11.01,2418,21944,PASS,39599,37289,Economy and Business
1076,GLENDALE COMMUNITY COLLEGE,GLENDALE,AZ,United States,PUBLIC 2 TO 3 YEARS,FIRE SCIENCE/FIRE-FIGHTING.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,38721,PASS,0,0,21066,PASS,38721,34370,Sciences
1076,GLENDALE COMMUNITY COLLEGE,GLENDALE,AZ,United States,PUBLIC 2 TO 3 YEARS,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,0.54,293,53746,PASS,0.81,293,36091,PASS,52972,53746,Health field
1077,MESA COMMUNITY COLLEGE,MESA,AZ,United States,PUBLIC 2 TO 3 YEARS,FIRE SCIENCE/FIRE-FIGHTING.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,40587,PASS,0,0,22932,PASS,40587,35282,Sciences
1077,MESA COMMUNITY COLLEGE,MESA,AZ,United States,PUBLIC 2 TO 3 YEARS,INTERIOR DESIGN.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,20807,PASS,0,0,3152,PASS,20807,19493,Others
1077,MESA COMMUNITY COLLEGE,MESA,AZ,United States,PUBLIC 2 TO 3 YEARS,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,0.55,320,57742,PASS,0.79,320,40087,PASS,55557,57742,Health field
1078,PHOENIX COLLEGE,PHOENIX,AZ,United States,PUBLIC 2 TO 3 YEARS,LEGAL ASSISTANT/PARALEGAL.,01 - UNDERGRADUATE CERTIFICATE,PASS,1.78,552,30945,PASS,4.15,552,13290,PASS,28055,30945,Others
1078,PHOENIX COLLEGE,PHOENIX,AZ,United States,PUBLIC 2 TO 3 YEARS,FORENSIC SCIENCE AND TECHNOLOGY.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,30911,PASS,0,0,13256,PASS,25836,30911,Sciences
1078,PHOENIX COLLEGE,PHOENIX,AZ,United States,PUBLIC 2 TO 3 YEARS,MEDICAL/CLINICAL ASSISTANT.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,23985,PASS,0,0,6330,PASS,21661,23985,Health field
1079,YAVAPAI COLLEGE,PRESCOTT,AZ,United States,PUBLIC 2 TO 3 YEARS,GENERAL STUDIES.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,21854,PASS,0,0,4199,PASS,21854,20970,Others
1081,ARIZONA STATE UNIVERSITY,TEMPE,AZ,United States,PUBLIC 4 YEARS OR MORE,INTERNATIONAL BUSINESS/TRADE/COMMERCE.,01 - UNDERGRADUATE CERTIFICATE,PASS,3.64,1933,53098,PASS,5.45,1933,35443,PASS,53098,51940,Economy and Business
1082,NORTHERN ARIZONA UNIVERSITY,FLAGSTAFF,AZ,United States,PUBLIC 4 YEARS OR MORE,ELEMENTARY AND MIDDLE SCHOOL ADMINISTRATION/PRINCIPALSHIP.,08 - GRADUATE CERTIFICATE,PASS,3.94,2414,61193,PASS,5.54,2414,43538,PASS,61193,60238,Management & Administration
1085,UNIVERSITY OF ARKANSAS AT MONTICELLO,MONTICELLO,AR,United States,PUBLIC 4 YEARS OR MORE,ELECTROMECHANICAL TECHNOLOGY/ELECTROMECHANICAL ENGINEERING TECHNOLOGY.,01 - UNDERGRADUATE CERTIFICATE,PASS,0.64,426,66497,PASS,0.87,426,48842,PASS,55902,66497,Sciences
1085,UNIVERSITY OF ARKANSAS AT MONTICELLO,MONTICELLO,AR,United States,PUBLIC 4 YEARS OR MORE,"ELECTROMECHANICAL AND INSTRUMENTATION AND MAINTENANCE TECHNOLOGIES/TECHNICIANS, OTHER.",01 - UNDERGRADUATE CERTIFICATE,PASS,0.81,481,58680,PASS,1.17,481,41025,PASS,57924,58680,Others
1085,UNIVERSITY OF ARKANSAS AT MONTICELLO,MONTICELLO,AR,United States,PUBLIC 4 YEARS OR MORE,INDUSTRIAL MECHANICS AND MAINTENANCE TECHNOLOGY.,01 - UNDERGRADUATE CERTIFICATE,PASS,4.38,655,14939,PASS,100,655,0,FAIL,14939,10910,Sciences
1085,UNIVERSITY OF ARKANSAS AT MONTICELLO,MONTICELLO,AR,United States,PUBLIC 4 YEARS OR MORE,HEALTH INFORMATION/MEDICAL RECORDS TECHNOLOGY/TECHNICIAN.,01 - UNDERGRADUATE CERTIFICATE,PASS,2.73,535,19569,PASS,27.95,535,1914,ZONE,17667,19569,Health field
1085,UNIVERSITY OF ARKANSAS AT MONTICELLO,MONTICELLO,AR,United States,PUBLIC 4 YEARS OR MORE,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,3.33,948,28444,PASS,8.78,948,10789,PASS,25708,28444,Health field
1085,UNIVERSITY OF ARKANSAS AT MONTICELLO,MONTICELLO,AR,United States,PUBLIC 4 YEARS OR MORE,"ADMINISTRATIVE ASSISTANT AND SECRETARIAL SCIENCE, GENERAL.",01 - UNDERGRADUATE CERTIFICATE,PASS,3.16,509,16083,PASS,100,509,0,FAIL,15218,16083,Sciences
1089,ARKANSAS TECH UNIVERSITY,RUSSELLVILLE,AR,United States,PUBLIC 4 YEARS OR MORE,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,1.86,630,33867,PASS,3.88,630,16212,PASS,31245,33867,Health field
1090,ARKANSAS STATE UNIVERSITY,JONESBORO,AR,United States,PUBLIC 4 YEARS OR MORE,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,28805,PASS,0,0,11150,PASS,27372,28805,Health field
1091,ARKANSAS STATE UNIVERSITY - BEEBE,BEEBE,AR,United States,PUBLIC 2 TO 3 YEARS,DIESEL MECHANICS TECHNOLOGY/TECHNICIAN.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,38245,PASS,0,0,20590,PASS,38245,36200,Sciences
1091,ARKANSAS STATE UNIVERSITY - BEEBE,BEEBE,AR,United States,PUBLIC 2 TO 3 YEARS,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,1.49,534,35725,PASS,2.95,534,18070,PASS,31625,35725,Health field
1104,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS,HELENA,AR,United States,PUBLIC 2 TO 3 YEARS,"COSMETOLOGY/COSMETOLOGIST, GENERAL.",01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,13539,PASS,0,0,0,PASS,13539,12791,Others
1104,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS,HELENA,AR,United States,PUBLIC 2 TO 3 YEARS,CHILD CARE PROVIDER/ASSISTANT.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,14235,PASS,0,0,0,PASS,13754,14235,Others
1104,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS,HELENA,AR,United States,PUBLIC 2 TO 3 YEARS,HEALTH INFORMATION/MEDICAL RECORDS TECHNOLOGY/TECHNICIAN.,01 - UNDERGRADUATE CERTIFICATE,PASS,0.09,15,15321,PASS,100,15,0,FAIL,14733,15321,Health field
1104,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS,HELENA,AR,United States,PUBLIC 2 TO 3 YEARS,PHLEBOTOMY TECHNICIAN/PHLEBOTOMIST.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,16519,PASS,0,0,0,PASS,16519,13665,Others
1110,UNIVERSITY OF ARKANSAS AT FORT SMITH,FORT SMITH,AR,United States,PUBLIC 4 YEARS OR MORE,LICENSED PRACTICAL/VOCATIONAL NURSE TRAINING.,01 - UNDERGRADUATE CERTIFICATE,PASS,0.81,295,36337,PASS,1.57,295,18682,PASS,36337,34188,Health field
1123,BROOKS INSTITUTE,VENTURA,CA,United States,PROPRIETARY 4 YEARS OR MORE,PHOTOJOURNALISM.,03 - BACHELORS DEGREE,FAIL,14.31,3135,21902,FAIL,73.81,3135,4247,FAIL,21902,20489,Others
1123,BROOKS INSTITUTE,VENTURA,CA,United States,PROPRIETARY 4 YEARS OR MORE,CINEMATOGRAPHY AND FILM/VIDEO PRODUCTION.,03 - BACHELORS DEGREE,ZONE,8.79,2059,23408,ZONE,35.79,2059,5753,FAIL,23408,18540,Others
1123,BROOKS INSTITUTE,VENTURA,CA,United States,PROPRIETARY 4 YEARS OR MORE,PHOTOGRAPHY.,03 - BACHELORS DEGREE,ZONE,14.3,3302,23083,FAIL,60.83,3302,5428,FAIL,23083,21883,Others
1123,BROOKS INSTITUTE,VENTURA,CA,United States,PROPRIETARY 4 YEARS OR MORE,PHOTOGRAPHY.,05 - MASTERS DEGREE,PASS,6.9,2268,32824,PASS,14.95,2268,15169,PASS,32824,31566,Others
1153,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE",NORTHRIDGE,CA,United States,PUBLIC 4 YEARS OR MORE,"BUSINESS ADMINISTRATION AND MANAGEMENT, GENERAL.",08 - GRADUATE CERTIFICATE,PASS,2.12,1562,73508,PASS,2.79,1562,55853,PASS,70134,73508,Economy and Business
1154,SAN FRANCISCO STATE UNIVERSITY,SAN FRANCISCO,CA,United States,PUBLIC 4 YEARS OR MORE,LEGAL ASSISTANT/PARALEGAL.,01 - UNDERGRADUATE CERTIFICATE,PASS,2.39,1058,44172,PASS,3.98,1058,26517,PASS,44172,42034,Others
1154,SAN FRANCISCO STATE UNIVERSITY,SAN FRANCISCO,CA,United States,PUBLIC 4 YEARS OR MORE,CLINICAL LABORATORY SCIENCE/MEDICAL TECHNOLOGY/TECHNOLOGIST.,04 - POST BACCALAUREATE CERTIFICATE,PASS,0.55,639,114740,PASS,0.65,639,97085,PASS,114317,114740,Health field
1161,CERRITOS COMMUNITY COLLEGE,NORWALK,CA,United States,PUBLIC 2 TO 3 YEARS,"COSMETOLOGY/COSMETOLOGIST, GENERAL.",01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,11549,PASS,0,0,0,PASS,11549,10358,Others
1161,CERRITOS COMMUNITY COLLEGE,NORWALK,CA,United States,PUBLIC 2 TO 3 YEARS,"COOKING AND RELATED CULINARY ARTS, GENERAL.",01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,21304,PASS,0,0,3649,PASS,20431,21304,Others
1161,CERRITOS COMMUNITY COLLEGE,NORWALK,CA,United States,PUBLIC 2 TO 3 YEARS,CHILD CARE AND SUPPORT SERVICES MANAGEMENT.,01 - UNDERGRADUATE CERTIFICATE,PASS,0,0,18296,PASS,0,0,641,PASS,15230,18296,Management & Administration
